Year,F_Jan,F_Feb,F_Mar,F_Apr,F_May,F_Jun,F_Jul,F_Aug,F_Sep
1923,457.57855,445.8555,392.32578,353.12543,322.75403,249.64352,132.9181,54.283222,20.81327
1924,214.80692,210.04686,232.62561,243.34279,198.28368,151.75296,119.06005,84.739136,35.23961
1925,328.31528,419.14847,485.66095,423.2049,316.04117,186.75194,133.13675,79.69347,31.231495
1926,353.8053,505.5606,648.5995,644.8133,487.1288,256.17896,140.00093,151.03076,175.1339
1927,780.7047,880.5855,942.7628,890.9958,708.0204,506.41025,277.6974,16.06816,0.0
1928,299.79373,558.74304,834.4059,860.5544,660.3863,402.792,271.72513,165.54807,30.468636
1929,174.38533,233.81798,327.1415,341.79535,256.0759,146.70552,103.352295,83.60436,47.684464
1930,569.40515,514.2055,431.27765,398.2758,346.64767,302.6769,209.7049,135.87163,69.82999
1931,165.39969,313.86343,404.9922,320.29636,229.28606,144.19287,146.5037,104.123055,62.089985
1932,202.63647,362.7836,588.6781,687.58636,565.23975,336.45114,173.8165,100.30313,23.529896
1933,259.55447,264.60397,275.2275,260.21,204.39603,144.70259,92.22583,35.79694,0.0
1934,422.17633,423.91068,393.85312,335.6875,252.07053,177.49362,126.46566,100.90625,80.120316
1935,464.6944,747.27936,1080.8582,1168.1888,889.942,441.55954,154.84607,95.87452,53.244556
1936,625.68475,638.77997,628.1193,630.5511,556.09015,411.904,189.32254,24.437735,0.0
1937,494.27173,519.167,568.73865,593.08453,502.8384,407.87518,269.6611,87.07964,0.0
1938,708.5783,1100.3932,1473.6044,1518.4524,1211.9084,702.40857,292.60135,47.879963,0.0
1939,136.21985,329.47427,458.94522,386.98828,285.52814,163.07019,120.88648,52.77322,1.9961529
1940,712.24274,1086.6862,1352.9937,1187.6066,769.3753,344.5771,196.38663,144.74786,76.54188
1941,1299.5688,1194.3911,1107.1427,1053.0406,788.4971,543.55743,268.9253,52.255077,0.0
1942,996.1018,950.84436,886.7174,819.9404,636.09094,463.4901,240.5645,15.8596115,0.0
1943,823.70374,911.8886,936.09796,881.27423,711.0725,503.04507,257.53592,47.68295,0.0
1944,259.21283,433.2518,625.84644,647.34045,496.4084,308.04413,208.65129,129.36998,26.755192
1945,210.69781,350.5567,569.6583,789.0401,820.00635,620.78986,342.6722,208.17027,131.7189
1946,251.10767,427.73242,667.8568,775.2125,626.61206,316.39844,91.37931,51.072414,41.032948
1947,319.60797,375.8073,306.25446,186.27629,240.46286,270.35663,237.96336,118.12606,64.25723
1948,258.5614,378.7731,576.5071,816.5595,871.63324,593.69946,203.15254,70.10718,67.866135
1949,180.41292,217.76472,298.8056,391.3727,390.75275,257.67215,106.1388,74.74448,90.54456
1950,341.55862,584.1059,805.69464,805.6734,654.23267,459.46262,328.40656,165.21043,0.0
1951,787.1275,863.8376,921.41815,886.49634,647.8307,372.70648,166.16142,100.10899,38.794777
1952,743.6099,1152.4811,1500.9902,1466.5433,1132.8331,665.1786,304.30487,5.3056173,0.0
1953,746.41504,751.0908,720.2653,682.5446,569.5071,445.3558,303.80045,204.66417,108.97164
1954,325.0308,524.7465,736.43286,748.662,561.59406,297.05508,144.54456,70.27966,0.0
1955,287.8101,452.60034,590.50507,577.2252,475.11044,338.31018,223.5468,76.46921,0.0
1956,1152.5823,1100.849,970.9068,861.54095,682.7514,525.0698,259.04666,0.0,0.0
1957,286.3038,458.73947,594.5763,534.29346,403.26724,257.16132,207.80103,131.11363,46.27862
1958,798.47003,1118.604,1363.7341,1364.8156,1200.8274,898.2167,531.05585,112.808685,0.0
1959,562.5812,518.7078,409.05048,285.37613,206.61281,148.47913,114.363525,96.04581,97.41324
1960,306.13745,447.6173,584.15015,593.7106,499.097,335.60248,198.57526,74.66469,0.0
1961,285.49484,438.1153,631.9498,690.44464,551.95984,338.28336,183.3109,82.160706,0.0
1962,165.72606,468.45337,726.7799,648.48694,440.40668,232.66246,230.95782,198.40044,129.02583
1963,428.76172,689.51276,929.4616,933.5527,711.60376,391.9226,191.67146,110.88831,47.639717
1964,173.0105,239.1095,361.9689,463.62982,429.3576,269.78275,116.97098,81.40792,76.60788
1965,963.9633,942.1778,851.0275,763.7623,642.4346,519.01184,255.36261,0.0,0.0
1966,242.23401,414.0484,601.81305,600.5738,425.7958,218.86943,130.26627,76.738144,2.4150608
1967,922.3606,915.8406,852.6135,791.15546,686.1437,554.78015,266.965,0.0,0.0
1968,488.17242,506.2299,486.07394,467.981,426.80453,303.68268,142.2246,63.36667,44.390198
1969,1047.6083,1127.9558,1101.6338,954.9567,743.8052,573.8307,343.8352,10.725878,0.0
1970,1646.1035,1368.7598,893.5283,542.1401,361.19308,299.63263,230.1262,229.25249,266.3492
1971,345.18832,630.39514,1006.2046,1177.5726,983.49554,593.6473,293.59076,162.75269,38.659904
1972,287.3277,462.48755,631.809,633.0107,494.4694,298.2567,169.29143,69.44673,0.0
1973,531.0474,698.88684,796.98425,677.7416,459.32672,248.59683,136.58939,15.706209,0.0
1974,878.3325,1156.8225,1388.017,1292.7347,909.16864,474.41803,215.8231,49.897526,0.0
1975,267.7151,515.86285,866.4619,1073.8586,949.30096,624.1361,344.44394,221.2738,105.42025
1976,206.72198,347.52112,417.06552,338.64078,267.93,173.63068,113.18676,21.695242,0.0
1977,155.51826,203.90002,219.87985,163.67575,136.34642,109.216545,120.20082,100.78938,88.479515
1978,963.646,1089.0298,1122.0516,965.3408,696.8325,480.50098,310.83487,78.99277,0.0
1979,265.8113,416.17328,556.7242,527.9069,376.6827,186.1502,94.16776,42.42583,0.0
1980,1280.4843,1247.4025,933.0803,591.4692,515.3432,467.3583,301.77762,60.13183,0.0
1981,171.52138,282.42084,451.68994,523.55865,427.31284,283.82803,194.9464,132.21552,42.362812
1982,733.381,1086.2708,1424.8951,1401.5228,1020.30786,536.4337,259.5812,125.64003,0.0
1983,649.73083,1211.8949,1688.8267,1735.7179,1454.6522,893.3286,506.94427,372.08408,322.16748
1984,788.1177,679.90967,629.9949,676.6636,522.4714,294.37643,77.32557,89.91709,117.815155
1985,163.07039,274.5362,411.74854,417.11755,291.98868,146.96907,101.50587,84.823555,46.13071
1986,735.6942,1297.3917,1451.1104,915.2711,493.1593,181.75514,252.91441,240.38408,266.74902
1987,217.48152,367.3246,547.49274,552.9073,390.81335,200.06752,137.43634,108.75585,50.544823
1988,241.27988,254.3267,337.1431,381.78262,300.80222,181.9788,133.53128,136.88249,113.858986
1989,413.4916,676.927,926.5254,896.0971,642.84094,341.15314,175.70695,42.605267,0.0
1990,171.77472,271.3102,419.49094,440.41663,312.4242,137.47203,91.43056,115.991585,119.96932
1991,210.43925,274.78604,406.05417,520.7804,500.7689,336.36966,185.05547,157.73412,159.38507
1992,135.73918,193.37903,275.6194,284.67087,218.36566,135.39957,107.72163,87.47306,53.223175
1993,843.431,1010.4936,1193.3389,1283.3699,1141.7255,834.13214,429.4489,71.32314,0.0
1994,187.04982,279.5526,392.4458,398.75705,292.61014,195.50723,160.57193,107.85619,20.85355
1995,1036.3778,1484.3666,1834.0366,1702.7295,1221.6615,638.6324,276.43204,27.656115,0.0
1996,1013.42114,973.4426,911.5552,819.8685,606.5313,432.9142,262.60635,92.107574,0.0
1997,1504.519,1296.1042,873.58405,530.90753,401.30197,360.43332,231.86693,67.36488,0.0
1998,446.14334,853.2103,1233.3416,1273.5999,1052.2823,691.64667,433.3496,215.57314,9.124718
1999,947.1591,895.5331,811.4831,709.7234,509.65955,345.3536,188.58554,57.45904,0.0
2000,599.8387,633.7907,699.65356,733.77234,615.9331,476.30533,289.74374,76.18722,0.0
2001,230.72557,365.64233,542.37494,563.1244,392.09033,202.25143,125.57045,84.41933,6.568523
2002,256.05295,327.54498,411.85367,392.05243,295.79294,162.70018,113.9584,94.70927,72.40131
2003,388.78214,511.88876,585.5582,499.87753,351.955,209.04254,131.32019,30.24247,0.0
2004,312.73,429.946,512.1337,446.94012,312.36758,173.54211,98.47081,12.70863,0.0
2005,267.3423,392.01443,568.9649,688.0834,642.04315,452.93936,241.06851,107.583466,3.5411236
2006,1270.0957,1274.0281,1260.0775,1208.293,950.4545,656.6411,304.45416,0.0,0.0
2007,361.6491,396.8326,339.1234,240.923,222.82565,203.76009,148.37936,55.753532,6.4463863
2008,334.1675,431.96887,534.39825,506.41888,366.63217,206.04689,126.71483,64.247856,0.0
2009,409.4711,561.0569,709.45215,671.4196,474.86835,263.53384,149.57541,42.03725,0.0
2010,241.41956,345.9196,470.23685,468.61218,342.36484,204.58127,142.62791,81.93376,0.0
2011,431.62695,687.7783,936.7016,944.7746,731.5977,430.73962,214.38264,44.93597,0.0
2012,416.4324,497.3428,488.6495,396.32333,353.47006,281.57568,206.52228,115.8481,68.686455
2013,145.09499,220.717,347.13983,404.59503,325.35913,177.82506,85.76846,66.36084,47.40267
2014,331.67847,344.14172,289.82516,188.50963,153.92378,129.71071,104.13108,38.017666,0.0
2015,201.91599,258.52237,323.01672,302.66998,233.16061,129.9296,95.4598,83.289276,73.85153
2016,428.49728,698.08704,963.35187,906.55865,609.1545,274.25977,164.55981,118.237206,39.769875
2017,2457.886,2150.064,1745.7362,1465.1761,1005.74634,693.76,387.91373,226.36969,18.406189
2018,299.2205,446.9986,667.87683,767.73083,601.59375,270.79282,69.99354,107.6375,171.0368
2019,574.1694,934.8059,1284.0679,1293.5294,985.716,549.165,244.45953,30.628017,0.0
2020,402.4563,427.37683,408.06827,332.84308,261.58978,196.81445,122.90461,8.563332,0.0
2021,150.70691,362.3412,535.58704,462.0491,323.11752,170.0036,181.74413,181.69214,166.17018
