Year,F_Jan,F_Feb,F_Mar,F_Apr,F_May,F_Jun,F_Jul,F_Aug,F_Sep
1923,278.56546,233.45033,324.7577,589.8412,439.28217,245.9456,137.68306,37.880352,65.6579
1924,137.12233,244.30785,175.64558,163.0118,94.63999,82.746376,27.160738,48.44744,27.094402
1925,241.42233,663.42645,427.76187,500.50082,379.19272,239.38002,142.80717,78.25987,79.706116
1926,200.18135,562.0989,488.74756,732.7433,406.61255,134.28401,62.53342,81.1641,71.141846
1927,416.7115,1215.2585,815.02924,918.45215,729.1513,332.00415,212.90266,120.18345,125.266594
1928,281.30325,492.53357,1243.9368,701.09186,457.1547,147.71309,92.450325,148.96292,80.42276
1929,123.2166,179.44954,238.12045,303.29944,256.13647,184.39977,93.373474,68.26207,41.97704
1930,375.6418,387.13187,518.0496,602.1652,492.44412,225.57051,124.39935,55.948097,74.04286
1931,141.11461,154.14375,221.80844,188.89403,99.90048,109.20396,39.47854,105.304306,25.366898
1932,271.2137,270.41394,522.4838,647.9285,557.43604,307.44382,139.4721,102.37651,64.2781
1933,115.93769,148.591,237.63014,301.79965,333.14133,276.78128,158.7148,55.76171,50.055744
1934,283.64005,317.06357,334.66843,247.35109,144.49908,136.93501,103.59453,81.2048,53.75347
1935,229.8948,262.80756,387.75266,1204.0769,922.80634,394.81006,188.06322,92.79576,85.71191
1936,802.31226,970.6068,670.6541,639.91296,477.36996,275.0118,126.20909,115.956,93.176
1937,169.33484,223.12483,525.06616,676.68494,665.81573,286.85132,136.07677,48.327923,63.01846
1938,529.6988,613.6696,1437.9456,1545.324,1594.2242,872.2526,382.96432,178.6174,137.70088
1939,148.72969,158.34953,325.49887,372.1431,195.55072,140.75282,75.67828,79.18059,44.246185
1940,665.44244,1101.908,1383.321,913.9054,515.0079,289.80927,120.5714,81.60321,107.409744
1941,749.57825,1144.7594,981.8825,868.5208,962.1597,458.8052,228.53381,127.88228,124.04988
1942,961.0749,1037.5507,571.5332,1026.2937,960.1051,557.68585,247.52841,124.983086,121.3736
1943,953.3669,702.2003,1144.0621,889.18567,648.4809,314.46298,142.14104,110.33533,103.90673
1944,180.96217,237.03102,399.3885,518.397,519.8675,304.5474,141.99011,85.6872,56.08829
1945,234.45096,663.0982,376.90964,473.73917,525.2356,294.55515,140.41104,141.50874,73.08201
1946,491.37277,363.06873,465.51553,640.5025,551.00354,270.15552,143.58452,86.89062,77.66317
1947,133.18182,352.54324,472.89468,365.252,245.20096,159.91663,85.140755,91.17626,48.429302
1948,309.20044,269.9415,342.22357,818.3686,761.1434,470.44983,235.05716,88.51039,81.53262
1949,156.59702,198.1018,439.75003,625.419,439.82132,220.83142,94.43709,75.99331,52.591335
1950,309.94604,522.4681,566.83887,770.7055,637.8818,315.54065,167.62378,109.54299,87.88127
1951,706.20844,704.4188,549.37537,591.87463,540.02374,287.29504,139.86243,148.02159,84.144424
1952,600.2487,552.0931,758.1667,1699.0795,1563.4402,846.6246,398.68735,146.90855,138.15884
1953,1204.497,481.05527,462.31476,721.44965,791.236,555.0251,326.66946,111.49759,114.65864
1954,327.07617,418.11166,846.91077,975.41077,577.93866,256.83368,139.82376,128.05438,89.21292
1955,217.66275,212.21695,245.96176,371.61777,431.91208,262.8782,142.4077,78.58863,55.80912
1956,1345.9996,731.0457,757.6106,947.10443,977.46155,530.02747,277.33188,171.7582,122.788895
1957,258.2066,632.90894,690.83417,488.35373,532.76227,332.90067,144.12456,71.71656,68.590965
1958,471.94202,1222.3389,836.61145,1098.088,1162.8547,665.6644,309.57904,142.14001,136.8293
1959,424.45404,445.77493,422.7724,363.23053,308.96432,167.43149,134.64212,94.981285,70.146545
1960,225.37372,679.9686,750.02924,511.54944,349.01694,179.45427,103.332886,67.702225,73.165146
1961,200.4945,439.22525,394.57187,371.23837,358.84363,255.657,109.94504,91.832085,52.42971
1962,110.64832,625.6336,460.73477,723.30444,500.9069,332.07248,165.55247,105.48002,80.80904
1963,481.92352,1037.8987,534.706,1209.2064,849.33154,296.8884,161.04994,143.27518,125.619675
1964,243.17407,189.96896,219.07431,433.63837,359.7229,209.66626,124.301994,59.965225,56.67425
1965,1206.1854,571.23193,577.7953,861.7009,738.6847,411.00903,154.29797,100.42513,82.5699
1966,261.7713,253.78178,454.49033,645.78705,386.52853,131.52464,85.58295,91.249214,64.08737
1967,754.458,562.32874,845.147,650.99304,1094.3044,819.8978,424.37048,154.73236,125.435104
1968,387.92325,709.7747,542.1402,427.6425,351.58835,172.57637,85.936646,76.4469,67.675545
1969,1534.22,737.94446,668.38336,1072.4714,1204.1161,557.3503,180.33907,122.5229,103.6081
1970,2133.252,755.7464,630.0516,371.2785,399.21487,212.86678,138.37778,99.81775,100.4305
1971,547.7319,502.71246,984.7269,910.2012,932.1594,628.8394,286.11548,126.15692,103.427956
1972,318.24203,414.4747,662.1047,531.9745,371.20792,208.55249,135.98933,63.835587,87.41723
1973,774.1468,481.7934,676.95905,712.5596,740.03815,348.69165,172.87582,111.53653,88.25233
1974,1448.5198,808.57465,1473.3662,1130.1533,965.8635,464.7155,214.8047,148.71536,124.491486
1975,207.06699,560.69135,843.76636,697.3408,998.1309,679.76843,323.61865,96.62499,99.3807
1976,137.09692,211.50363,267.52805,214.28955,172.434,183.08308,90.11315,94.18657,39.478725
1977,55.348644,67.22983,102.278145,101.13398,96.0588,96.75389,52.241997,25.235334,29.499928
1978,1080.1829,654.77606,1092.548,782.4759,712.9727,394.842,151.58275,89.37393,93.76652
1979,320.78204,322.56644,464.9892,528.88617,529.40704,309.6325,142.3027,87.15521,62.76858
1980,1477.8743,1168.1656,721.4818,626.48895,563.0324,303.92526,142.65605,153.27098,117.04136
1981,323.45786,378.09384,400.70175,340.28748,262.4621,145.1904,131.28862,127.43009,66.189896
1982,715.2921,1057.5142,910.51245,1539.4235,1030.5284,461.94083,221.7749,190.07027,145.71175
1983,809.7314,1318.527,1884.5312,1123.442,1334.4274,1035.225,494.06714,194.05484,170.89272
1984,502.32126,477.33072,636.7486,527.724,498.2705,310.95187,171.37389,97.9269,82.53394
1985,179.25821,190.40688,341.67474,415.68173,298.7322,133.08403,95.31093,99.00096,54.332905
1986,737.6482,2505.1362,1491.9678,573.666,410.09543,229.78127,147.30588,71.043724,136.54947
1987,177.2792,322.20306,514.7549,308.54324,193.73315,106.727104,80.77318,56.759193,55.00252
1988,308.49796,188.3667,173.9438,241.93777,232.86545,158.87787,133.70093,118.94759,59.30356
1989,84.75229,331.78494,1267.0824,725.1024,303.62805,185.34166,169.60243,90.83948,89.19181
1990,214.01038,208.6371,394.9787,295.91504,174.24623,154.35744,114.04683,106.17237,56.931282
1991,108.68388,179.92165,466.01282,377.36966,369.57962,213.06139,123.634995,93.82637,54.565258
1992,191.47827,425.77615,349.02924,304.15863,198.77403,114.30271,60.363712,81.8572,51.091206
1993,667.2383,585.3288,1223.6589,954.8085,837.3589,441.90048,136.88324,87.282684,90.0967
1994,159.15543,232.19331,301.6239,263.06595,229.69798,128.77174,91.39533,49.581673,51.047848
1995,1535.6375,948.2196,2096.5105,1372.7329,1619.2177,839.8969,379.50964,174.1082,155.86644
1996,510.94287,1231.7161,903.4632,900.2606,879.1625,403.81473,200.22557,106.35954,125.79919
1997,2284.2476,646.836,518.43945,535.62366,395.4138,286.65372,161.75108,138.64215,99.63412
1998,946.1732,992.7211,913.06323,847.6081,1012.97974,956.2806,442.62378,146.4886,138.78157
1999,631.6304,963.4426,810.7164,756.29047,624.438,308.5365,113.486595,105.239784,95.15802
2000,512.262,943.33514,771.0165,697.2695,478.19345,202.85608,107.391556,122.56931,87.16621
2001,192.543,265.8308,401.70163,336.34045,284.637,133.86082,52.729855,55.161186,41.560955
2002,552.6072,374.5145,420.918,469.5001,363.48694,181.10355,42.925426,56.48633,49.358543
2003,740.86395,421.135,575.39453,646.9539,680.51544,302.7268,187.00455,120.052666,84.162186
2004,350.6134,739.23065,670.5627,481.46835,363.16986,178.05824,92.0091,61.52495,72.11308
2005,369.17438,336.15237,639.513,691.35114,888.1651,434.2746,214.86009,71.632,82.461075
2006,963.8218,784.92596,1036.6553,1628.1487,1231.8788,504.91473,217.1869,176.80872,138.79556
2007,246.30838,455.24634,462.0779,364.9574,230.31224,161.00456,98.05995,79.65161,60.174736
2008,233.4265,199.90112,330.94034,405.5454,299.25693,165.41817,66.910355,52.489662,43.87866
2009,244.68298,465.48257,687.3037,417.79486,512.6571,200.01549,102.439514,53.62128,65.3252
2010,382.14917,317.62885,488.49808,637.5275,718.66394,423.8844,193.38675,78.71837,72.648674
2011,416.0575,501.63107,1140.9764,1174.7983,1033.9742,743.3703,363.80875,188.44684,117.40699
2012,218.74673,276.67892,705.8795,639.2372,414.6697,173.41614,89.766075,95.94696,63.016285
2013,245.76427,310.34323,399.0925,281.3728,181.75723,214.6474,104.05697,110.944,49.935276
2014,82.29878,240.62291,418.9864,241.64293,97.62724,82.507996,80.537926,40.98451,50.418232
2015,280.0861,383.36154,206.9015,156.56078,85.05206,131.65012,83.8204,92.75555,51.007057
2016,667.3055,590.77594,1325.4396,555.8029,349.62808,165.8542,140.67726,99.555695,106.71974
2017,1816.4382,2739.1423,1324.8131,1379.7097,962.7302,417.62457,246.72787,148.92455,225.9662
2018,274.40472,318.53183,797.0264,710.34296,289.2256,132.35327,97.96124,74.51908,76.90135
2019,626.4317,993.28784,1192.9152,1339.3289,953.678,460.6845,138.60605,76.20988,111.5766
2020,268.13498,199.3013,255.63702,359.80045,291.014,151.42972,81.57865,66.79139,49.39394
2021,163.77173,208.64427,237.2148,188.5779,128.21712,117.45609,54.775146,61.021275,34.73502
