Year,F_Jan,F_Feb,F_Mar,F_Apr,F_May,F_Jun,F_Jul,F_Aug,F_Sep
1923,325.72208,436.7608,527.9676,541.92664,477.30707,354.94586,216.2695,106.28001,45.5137
1924,125.51809,181.5457,241.39423,251.2907,203.01903,133.18805,84.3657,76.084496,87.47857
1925,448.90082,591.7393,694.01654,650.7059,472.38638,252.439,92.9409,54.101387,84.871
1926,271.62543,390.1468,495.60223,513.9053,438.513,307.33136,174.48839,86.87782,46.96308
1927,735.1646,923.2519,1030.4718,971.7832,776.44037,502.61197,235.67706,62.32964,0.0
1928,395.87408,555.1795,689.44476,715.27136,627.8945,460.304,271.0863,124.0062,41.878807
1929,123.01276,239.50195,362.66232,397.93857,326.3375,206.01035,103.3218,61.13696,54.875603
1930,422.91632,575.28595,701.579,702.8937,578.0026,391.92142,228.28351,145.62679,122.91175
1931,210.98004,318.37433,420.2964,444.80283,381.81995,267.8733,153.42712,79.99936,47.002613
1932,265.36588,501.70956,726.4519,782.64264,645.5467,403.81625,163.56055,19.257586,0.0
1933,193.45195,290.7777,381.40353,394.58514,322.6987,208.5454,105.024376,50.91708,36.388023
1934,242.03026,376.91995,500.8194,529.9448,453.53485,311.95877,161.94873,57.851154,6.93897
1935,271.85623,543.9578,804.41046,880.10486,740.53503,475.0915,194.73264,8.717791,0.0
1936,456.07306,523.8317,541.96814,477.23727,355.5562,212.29706,94.78896,38.426426,38.999588
1937,142.30699,266.08615,387.93903,433.85724,387.53818,273.8725,133.3387,16.987087,0.0
1938,887.2504,1164.041,1353.1404,1342.9062,1153.2811,827.33765,455.22125,156.54842,0.0
1939,174.58774,256.49292,333.921,351.6926,302.4345,212.48044,119.92014,57.48639,29.306297
1940,567.2883,760.06586,905.2413,891.0476,724.6525,479.6929,253.26987,124.419464,81.1425
1941,629.22095,819.4188,943.0516,916.491,758.0723,510.7551,246.32991,51.139168,0.0
1942,753.7283,783.25464,722.83734,578.5288,410.1936,247.3591,134.63408,96.645195,124.0847
1943,583.4642,717.67633,792.2252,728.45654,550.48883,328.89142,149.75243,73.372696,75.36021
1944,79.337715,185.58707,309.3805,365.92337,330.10672,242.87492,156.6444,106.957214,81.88407
1945,241.91522,415.58646,589.11194,666.6675,623.87036,484.43555,299.3514,133.7903,22.99514
1946,265.6338,471.86472,673.5653,736.77277,636.5616,439.95447,234.96097,99.99797,31.603867
1947,341.29376,478.76437,599.5002,594.27136,458.62045,278.46512,149.7704,123.501884,147.28058
1948,223.14561,370.29996,514.15094,561.0866,493.55856,353.46368,200.99419,92.338806,33.75739
1949,280.36084,405.6105,513.58374,525.77905,437.41403,292.04407,148.27606,57.549683,20.559635
1950,235.3776,425.87927,616.52594,681.5833,595.2908,418.829,233.52885,110.48994,46.219
1951,740.38434,836.2598,843.724,735.0753,558.398,349.57184,165.054,57.31298,36.390884
1952,908.44745,1186.4227,1376.6002,1330.423,1070.6937,701.683,361.79855,167.56802,103.37671
1953,530.727,590.5304,594.8926,517.0758,388.73367,244.93872,134.51434,88.314255,96.792496
1954,163.82466,279.04572,399.55295,433.60632,363.66235,245.32042,144.72835,102.627655,94.33261
1955,314.15448,372.01453,398.967,363.67612,280.2331,173.34807,78.09011,23.863625,14.306359
1956,684.7627,850.5644,955.795,909.7878,733.19476,494.5323,287.11282,179.0793,152.76372
1957,554.0131,604.0047,609.4865,554.28955,464.64874,357.02042,268.93054,220.03242,209.08502
