Year,F_Jan,F_Feb,F_Mar,F_Apr,F_May,F_Jun,F_Jul,F_Aug,F_Sep
1923,347.98526,264.57834,265.02234,369.7711,403.25443,293.49158,100.87419,46.745876,115.265564
1924,111.7615,184.55078,192.01302,201.79848,154.09776,77.82358,14.767542,18.381723,56.225452
1925,244.66829,535.2954,537.87695,461.99588,287.30313,147.03123,69.27798,52.792698,54.79966
1926,224.1621,535.9501,549.7033,484.24533,319.23868,186.51071,100.94715,65.95551,49.81099
1927,655.90643,1055.1621,999.53656,917.1629,627.8494,315.12888,82.025215,81.25768,173.10776
1928,326.16083,667.3426,914.9534,791.7557,493.3811,256.8887,184.84729,135.48349,67.78647
1929,162.54973,149.22366,293.07147,368.2652,347.72333,231.18315,96.59571,32.806538,38.502556
1930,242.29294,251.45274,509.61276,478.2222,352.48267,214.23541,162.00368,98.3854,45.414726
1931,230.84969,318.89127,305.53482,314.65073,250.56744,142.94798,38.994446,31.955214,81.5646
1932,204.67247,114.1051,451.16364,606.56946,578.1124,369.72485,160.41054,84.321365,100.74979
1933,155.45003,165.2364,319.57776,331.02582,286.59268,210.37106,142.49532,63.22048,15.554197
1934,255.11096,348.26147,335.25208,300.61844,227.10683,151.5285,86.39496,55.483536,61.849106
1935,286.47952,266.95776,751.0615,1010.6851,951.2625,602.0745,223.80681,90.77072,115.070915
1936,632.35657,845.65564,724.708,561.9244,389.63965,292.15155,217.97061,139.95932,105.010826
1937,253.88626,69.625465,570.7663,732.6888,645.84705,345.75424,117.74949,54.34528,87.83071
1938,506.88565,801.4483,1053.8951,1419.441,1400.5227,996.34155,364.94003,126.51567,168.31784
1939,136.29108,142.7988,269.82565,303.3774,257.06412,153.95015,66.19266,26.421629,30.822376
1940,724.5525,1137.5654,1335.633,1035.9185,554.86084,227.74692,177.93091,141.10858,77.1466
1941,828.26263,912.68945,899.65436,904.5337,759.0093,495.21747,212.11998,139.52127,219.15958
1942,946.321,854.6838,701.6008,845.44293,842.8633,574.4768,141.44019,43.090515,216.54517
1943,867.90717,565.1867,965.9834,881.9831,630.30206,292.05392,154.90822,112.13303,149.59174
1944,190.12857,253.92041,463.1134,501.39285,413.72888,260.7985,139.46785,77.54539,59.998463
1945,298.12976,470.17657,475.0452,534.4464,484.7105,347.90027,145.75557,59.695858,72.208954
1946,277.46307,93.02035,509.54657,660.58307,600.50336,337.61777,112.27334,34.942707,64.97276
1947,178.28381,279.28052,479.28094,448.73178,309.71442,164.71454,102.74958,59.492004,27.76308
1948,247.26825,185.60822,407.4477,661.8185,740.857,560.3632,227.33607,71.0416,84.85503
1949,140.2454,0.0,336.832,480.13895,450.99472,249.69675,101.000534,61.752193,89.10006
1950,287.13748,689.4219,712.5627,653.78906,451.30606,268.13193,130.04086,80.710686,65.95574
1951,648.9962,752.9187,645.6285,608.8507,478.0175,291.61722,114.70292,114.920944,216.3223
1952,584.7905,679.3067,1061.0117,1524.3534,1534.1053,1039.7712,317.70322,85.56235,191.05685
1953,980.1705,399.14825,493.45984,623.7313,732.72675,580.3922,281.8987,107.53395,168.94026
1954,305.63263,537.1342,682.30615,685.4466,523.6938,313.1731,138.74042,65.43902,54.130745
1955,204.6238,16.036266,265.29578,426.02475,439.83508,259.30707,57.49843,3.0042636,61.963974
1956,1189.9338,811.50696,606.8448,730.1057,835.9466,669.3929,258.48798,71.2548,191.13033
1957,286.78458,650.97815,670.0541,617.2788,398.7584,183.99365,50.278015,60.51059,105.022934
1958,592.8964,1033.4247,1070.6154,1139.4316,1013.3335,778.2429,416.86337,208.02824,145.72954
1959,328.50696,495.89108,437.40552,310.70966,175.48735,114.01759,102.38175,71.281906,47.504322
1960,319.85254,679.0396,675.51636,579.8897,366.39587,196.99983,98.16388,71.85656,67.91322
1961,191.46257,298.27005,392.82632,380.51624,314.49396,241.36488,171.38866,94.69933,44.195892
