Model,Excel_R2,Sklearn_R2,MAE,Custom_Loss,Percentage_Bias
MSO,0.6758934262808562,-1.1395298511022636,180.11681331975308,106643.12904233117,14.380916102994075
lstm_h2_32_16_a0.1_b0.1,0.8713391736833569,0.7955569609747765,71.27566891470258,17956.42110820759,0.6140856244541528
lstm_h3_16_8_4_a0.1_b0.1,0.6969177853725903,-0.5294271346674398,138.4604276237486,55674.002374272306,6.144840841285439
lstm_h3_64_32_16_a0.1_b0.1,0.9553928836231363,0.9298147487337532,40.3283110976431,11238.869135507204,-0.8178383334644111
