Year,Model,WYT,Excel_R2,Sklearn_R2,MAE,Custom_Loss,Percentage_Bias
1923,MSO,BN,0.7105341213003097,-0.8377658768623426,191.85506419444442,74686.24056870388,68.39210907236503
1923,lstm_h3_64_32_16_a0.1_b0.1,BN,0.9788592028496488,0.962014136435951,31.532689777777787,3488.6089869240677,-6.798282092921915
1923,lstm_h3_16_8_4_a0.1_b0.1,BN,0.7084382260310582,0.6033506609622217,88.27760444444444,16360.075498321352,20.120935556699834
1923,lstm_h2_32_16_a0.1_b0.1,BN,0.8127191455873991,0.7796554984455587,65.00244633333334,9456.639834472926,-10.589730146155972
1924,MSO,C,0.38127968180585786,-4.873148204211986,138.50994608333335,37386.82642370419,116.39368757610683
1924,lstm_h3_64_32_16_a0.1_b0.1,C,0.8126177235555895,0.8053006614353696,27.37245177777778,1535.482374428623,-3.9492455584365653
1924,lstm_h3_16_8_4_a0.1_b0.1,C,0.2993476418742642,-0.07865190806623956,63.943685111111094,6967.481487313246,32.8996990300586
1924,lstm_h2_32_16_a0.1_b0.1,C,0.5136337043612159,0.45798840430932763,41.430172666666664,3713.2267185062433,-7.720627484874678
1925,MSO,D,0.5943691373779012,0.5472180439285728,108.03040389222221,27661.123642063318,13.033257894601423
1925,lstm_h3_64_32_16_a0.1_b0.1,D,0.9596557845295751,0.944517244645004,43.93171266666666,6789.630797313252,1.1523783028922046
1925,lstm_h3_16_8_4_a0.1_b0.1,D,0.6461020393954467,0.46827125999631825,118.11533922222222,32849.135401442734,22.821698100033053
1925,lstm_h2_32_16_a0.1_b0.1,D,0.903788248023471,0.8766337466340735,58.37652888888889,10388.680954976488,11.714141339899273
1926,MSO,D,0.5908173347562642,0.5697569551740489,124.46376505444444,35336.08249026476,-5.566624486839719
1926,lstm_h3_64_32_16_a0.1_b0.1,D,0.9473407175466579,0.9413385440011678,48.46712044444446,9472.411315012672,-0.5443080050825808
1926,lstm_h3_16_8_4_a0.1_b0.1,D,0.6395663509270483,0.6068614919460764,130.99145000000001,32234.6912533008,-1.054514067888894
1926,lstm_h2_32_16_a0.1_b0.1,D,0.8006287218677377,0.7740132418873124,96.02859111111113,20478.16625664327,0.3836638228353476
1927,MSO,W,0.7276370442979001,0.5669078482822857,159.06403846333333,80761.35510278585,-23.275456792920437
1927,lstm_h3_64_32_16_a0.1_b0.1,W,0.9931887400409141,0.9901720245406338,35.45859377777779,14539.185407588711,0.8851437186344421
1927,lstm_h3_16_8_4_a0.1_b0.1,W,0.7670416708803334,0.7475045793498623,150.29638444444444,49366.720448981534,8.170639598521308
1927,lstm_h2_32_16_a0.1_b0.1,W,0.9190888407985984,0.9042024667895344,98.04781888888891,24659.515676795494,-8.518295987278265
1928,MSO,AN,0.5180119911277045,0.4974505741696893,186.27144070666668,101722.00684325788,1.2797665243277718
1928,lstm_h3_64_32_16_a0.1_b0.1,AN,0.9778678038742922,0.9650995348600044,55.5650138888889,20298.782613603373,0.9545367062667738
1928,lstm_h3_16_8_4_a0.1_b0.1,AN,0.5486060370654328,0.5115554472497659,199.47218366666664,98040.18913136738,7.472501647697374
1928,lstm_h2_32_16_a0.1_b0.1,AN,0.9241472296138131,0.8694456678200162,125.40502888888889,33889.92936428394,14.769268643903525
1929,MSO,C,0.6914231376100481,-3.5168738895176848,161.36964186666668,50699.41310843962,93.07148781588566
1929,lstm_h3_64_32_16_a0.1_b0.1,C,0.8718235019307068,0.8622014477298402,23.28531711111111,1819.086805964373,-4.594214116289492
1929,lstm_h3_16_8_4_a0.1_b0.1,C,0.8667375219407634,0.6077304278807526,43.06640966666667,5027.741809149059,20.187051285338825
1929,lstm_h2_32_16_a0.1_b0.1,C,0.7649304458803741,0.7323354215190129,41.36664888888889,3695.139713501927,6.606178601192393
1930,MSO,D,0.913535493706574,0.8973956272639899,55.181851124444435,6576.263535864914,8.044722670107285
1930,lstm_h3_64_32_16_a0.1_b0.1,D,0.9590555744609299,0.9529063111075424,36.62265255555555,3991.0308253969533,-3.049252784191218
1930,lstm_h3_16_8_4_a0.1_b0.1,D,0.9584231223057526,0.7178613404872121,102.69122666666665,15775.991080668224,31.38058671737065
1930,lstm_h2_32_16_a0.1_b0.1,D,0.9584768677705129,0.9301524133801334,44.11957333333334,5371.125458709905,10.649845850876021
1931,MSO,C,0.7685276409382624,-4.270686852653125,131.74702521333333,31590.17838704802,99.28646529332433
1931,lstm_h3_64_32_16_a0.1_b0.1,C,0.8106540990272205,0.7832775409690059,28.16544644444445,1613.1636001047345,-8.528741233985153
1931,lstm_h3_16_8_4_a0.1_b0.1,C,0.7300131265035237,-3.6364137445349156,127.68563522222222,27545.103489931746,95.9352615475388
1931,lstm_h2_32_16_a0.1_b0.1,C,0.5750332172811744,0.5312770645195989,38.253420222222225,3095.3306733500754,9.313510451786925
