Year,F_Jan,F_Feb,F_Mar,F_Apr,F_May,F_Jun,F_Jul,F_Aug,F_Sep
1923,426.57178,406.75372,344.52393,254.72316,174.8828,99.81034,64.818405,41.31365,0.0
1924,472.30786,468.11826,421.05533,341.4079,263.62314,184.84554,137.06161,99.33066,0.0
1925,579.72235,566.8191,497.1252,383.623,277.19855,171.1512,106.48131,67.76359,0.0
1926,367.08926,368.747,340.40463,290.50482,238.79344,185.62912,155.16469,120.319435,0.0
1927,736.6441,742.38745,679.874,556.77484,431.63104,298.57272,200.14485,137.58568,0.0
1928,716.18475,752.5005,731.37976,651.4606,553.0768,437.03275,333.44562,250.43332,0.0
1929,317.3311,301.16425,255.26724,193.27715,138.72385,89.25454,72.94509,54.163776,0.0
1930,513.08923,528.1061,501.32736,437.4299,365.36218,285.4358,224.71869,170.53961,0.0
1931,260.0059,289.0104,307.1616,314.71844,305.30853,286.9585,267.9225,220.7394,0.0
1932,948.65094,940.62335,837.8386,652.27356,473.12848,287.64835,154.89929,87.94562,0.0
1933,327.80978,371.09113,400.32217,411.63422,398.71915,371.2408,335.81662,273.89154,0.0
1934,380.00058,393.07925,378.0079,339.87885,293.9125,242.56766,206.46164,162.59653,0.0
1935,1022.16016,1005.6805,884.2162,672.3207,471.74203,266.58234,122.998344,57.14617,0.0
1936,476.93167,491.18228,467.2769,410.07574,344.92267,272.66333,218.70203,167.49614,0.0
1937,507.6426,511.5567,471.11896,394.2715,315.14914,231.88577,175.36922,129.48198,0.0
1938,1024.1257,1098.4144,1093.1559,996.15826,862.0577,693.57227,523.3389,392.5545,0.0
1939,316.59186,320.3976,300.19543,263.73605,224.05293,182.91203,160.95042,127.96006,0.0
1940,641.7142,623.3641,540.07324,406.50153,283.24036,161.28404,86.98985,48.00101,0.0
1941,732.2912,739.63434,679.63696,559.4936,436.42914,304.98557,206.88084,143.47162,0.0
1942,847.4315,858.1669,790.241,649.98364,505.60184,350.13245,230.2388,156.68195,0.0
1943,489.97635,549.82697,583.01495,580.9785,546.7285,490.23242,420.70425,336.0688,0.0
1944,431.80426,448.721,433.04767,388.80606,334.95224,273.74292,227.16396,177.08275,0.0
1945,785.7114,866.06915,894.0201,855.30524,774.9932,661.6093,532.7002,413.58063,0.0
1946,1011.1091,1027.2683,948.8437,780.7578,606.51575,417.13867,266.09668,177.6848,0.0
1947,495.6329,488.87918,436.04016,348.18753,263.68857,178.71463,127.45857,89.993034,0.0
1948,612.6994,614.1278,559.2983,457.00845,354.32327,246.85667,172.07605,120.91404,0.0
1949,557.20905,596.62463,596.4335,554.1743,490.95914,411.26984,335.5122,260.9542,0.0
1950,608.2129,628.8424,599.1179,522.17346,434.56516,335.93863,256.40646,191.83759,0.0
1951,992.3385,1030.1271,981.4451,844.8195,690.39825,514.0066,360.09085,257.49707,0.0
1952,914.54004,1057.7034,1152.467,1166.2153,1105.5347,989.3933,819.0106,646.4091,0.0
1953,562.36237,614.7999,630.76056,603.95184,549.2662,473.76312,393.30203,309.1017,0.0
1954,318.4464,370.29657,411.51627,435.7006,431.03656,409.12796,372.9135,305.4993,0.0
1955,499.21606,491.09073,436.1104,345.75516,259.5043,173.17879,121.67258,84.945816,0.0
1956,790.80096,823.369,789.4842,688.9762,572.39636,438.35162,322.36673,237.02321,0.0
1957,409.2437,435.51743,434.25082,406.68213,364.38992,311.98526,266.77252,211.52509,0.0
1958,914.425,958.61914,926.4616,814.5008,680.91614,524.3394,382.6473,280.7086,0.0
1959,39.11174,49.93612,68.32744,99.643684,122.52957,145.50055,171.64742,152.26535,0.0
1960,327.95267,332.66275,312.40884,274.68845,233.3217,190.04308,165.76656,131.36829,0.0
1961,797.3312,826.8056,788.2567,682.43335,562.2232,425.47247,309.2037,225.63052,0.0
1962,712.1956,725.8801,676.15894,568.3345,454.09955,329.68375,233.37338,166.78542,0.0
1963,687.8701,675.0467,593.92194,457.58096,328.84485,198.96092,114.7252,68.69371,0.0
1964,551.5646,581.8125,570.4653,517.75653,448.95352,366.76202,294.6801,227.04573,0.0
1965,836.4595,852.79926,793.2315,662.4216,524.439,373.68256,254.14807,177.32637,0.0
1966,494.92422,501.6282,466.125,395.5198,321.084,241.7683,186.7418,139.71625,0.0
1967,728.8826,724.18304,649.10376,514.384,383.15054,247.53593,153.53577,98.952675,0.0
1968,749.04596,783.413,756.2886,666.92316,560.3061,436.21262,327.25183,243.4257,0.0
1969,878.259,896.0246,833.82794,695.9629,550.38477,390.98566,263.48483,182.84044,0.0
1970,563.89636,568.8096,523.65405,436.1434,346.12106,250.85042,183.8792,133.50404,0.0
1971,999.52454,1033.411,978.958,835.8507,677.0677,497.4947,343.41077,243.12056,0.0
1972,487.21796,509.37195,494.50607,445.1637,383.70667,312.4081,254.29854,196.76015,0.0
1973,651.7513,659.05426,607.59454,504.48425,398.05,284.36594,200.8267,142.85039,0.0
1974,906.2698,908.9153,824.33905,661.32336,498.8096,327.0468,198.86436,127.134834,0.0
1975,562.17,585.997,565.2836,502.16797,426.4398,339.28256,267.14426,203.38217,0.0
1976,387.32175,369.59375,314.23038,235.41057,165.22923,99.6741,71.169334,48.80615,0.0
1977,161.28822,148.45317,123.47052,98.81304,78.99255,65.32552,76.24841,65.55898,0.0
1978,647.51953,645.823,583.2721,469.62613,357.43567,241.00636,160.83887,109.57137,0.0
1979,532.0331,550.70197,526.5869,463.31082,390.01566,307.40118,242.20293,184.1455,0.0
1980,798.9008,809.20825,745.90924,615.4026,480.74408,335.811,224.81097,154.816,0.0
1981,595.8242,606.81555,566.05066,479.48944,387.3416,287.5091,213.00763,156.15086,0.0
1982,1083.9933,1162.7695,1156.8818,1052.8862,909.70874,729.84454,547.493,409.4878,0.0
1983,1268.0875,1361.2036,1354.0752,1229.2476,1058.5568,843.9237,624.15155,463.55615,0.0
1984,1025.8566,1046.1487,971.4519,805.4883,631.241,440.2986,285.39444,193.04256,0.0
1985,737.3578,748.06476,691.8413,574.89667,453.26285,322.07623,222.08151,155.93086,0.0
1986,681.97003,676.10077,604.52423,478.26953,355.87817,230.13943,144.95537,94.35516,0.0
