Year,F_Jan,F_Feb,F_Mar,F_Apr,F_May,F_Jun,F_Jul,F_Aug,F_Sep
1923,590.6283,660.76086,709.3775,642.58417,551.6693,393.72195,148.06784,0.0,0.0
1924,517.1471,525.88336,638.19836,604.0726,573.72687,467.84964,316.27347,75.4193,0.0
1925,543.3626,608.07275,652.19574,588.35675,504.72128,359.76227,135.56522,0.0,0.0
1926,555.6401,629.475,687.8239,639.36346,566.9239,426.78137,200.30363,0.0,0.0
1927,604.6899,585.18396,633.00665,531.3319,430.90817,272.27786,67.24097,0.0,0.0
1928,405.2056,500.60263,600.01685,611.0204,605.0232,527.2084,374.18283,192.39267,0.0
1929,536.00977,600.99725,646.4907,586.1018,505.95236,364.62228,144.46571,0.0,0.0
1930,551.34375,556.73615,666.27734,624.6205,584.80554,468.12943,302.3784,45.296753,0.0
1931,499.85803,587.2151,666.8342,641.77734,595.98145,478.19348,277.59598,47.209106,0.0
1932,577.5521,653.02545,709.3511,649.52356,566.34045,413.9499,174.18785,0.0,0.0
1933,606.61755,605.4572,705.2756,643.805,582.419,443.69867,252.18509,0.0,0.0
1934,497.04272,595.89355,692.08984,682.3324,650.06934,539.36896,341.58765,112.59406,0.0
1935,605.9596,655.5261,673.4387,575.925,457.05862,282.1969,26.260132,0.0,0.0
1936,585.59296,585.60565,683.834,623.1316,564.2293,429.9243,245.68837,0.0,0.0
1937,448.89566,512.00494,562.6674,523.9787,470.46942,361.22232,183.79715,0.0,0.0
1938,600.72064,692.867,771.081,726.8309,654.95996,503.0994,254.31152,0.0,0.0
1939,512.8779,564.46674,593.88916,525.79553,440.60153,302.87234,93.478745,0.0,0.0
1940,560.2656,635.80493,694.04095,639.8444,562.9887,417.6938,186.74934,0.0,0.0
1941,435.82642,487.90775,524.5589,477.20694,417.08408,308.09915,136.33577,0.0,0.0
1942,432.2839,516.3237,597.9948,589.6841,564.12897,471.72116,304.84854,110.15576,0.0
1943,474.26273,486.29163,602.3276,582.93964,567.93146,479.30774,347.57608,129.77148,0.0
1944,421.1152,502.9153,582.1431,573.2435,548.30383,458.4145,296.46606,107.20182,0.0
1945,454.40488,566.72894,685.2068,702.08374,697.08307,608.21344,432.3476,224.38339,0.0
1946,516.279,603.13745,681.3354,653.5078,603.4806,480.75275,272.86343,34.966465,0.0
1947,540.35864,621.93427,690.34503,648.799,584.76605,449.87885,229.31761,0.0,0.0
