Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
1988,616.01624,514.13306,1202.251,925.1751,946.31067,484.42273,174.89911,106.322845,91.27208
1989,411.4072,378.37128,378.92337,466.19702,304.3118,176.87842,97.06931,83.507164,54.888756
1990,245.19849,174.19464,414.3475,328.8262,220.88046,200.79587,93.43853,71.99871,73.33287
1991,74.762314,106.73839,535.45905,410.1233,357.21878,182.95724,94.002975,72.11685,58.92824
1992,100.490555,372.46558,331.38397,359.6086,165.27318,92.16051,77.19613,61.45557,56.869072
1993,629.24426,547.3603,1276.5215,930.4119,878.058,493.31995,165.37209,101.611694,92.259094
1994,149.49039,206.0622,289.66336,313.53946,242.08572,123.02869,89.51814,68.60083,62.554497
1995,1393.7654,573.4115,2116.0598,1265.1022,1560.5254,817.7904,330.7757,147.55154,106.487274
1996,452.87833,1178.3856,814.32776,855.52716,951.081,329.42252,166.48198,107.32007,103.08574
1997,2397.217,527.5976,513.90204,518.03784,354.21802,195.69772,126.59379,94.39327,97.67525
1998,950.0429,1173.5057,997.85425,876.03375,1046.4362,939.7989,371.23773,157.25632,127.9463
1999,557.2746,937.33453,810.15796,688.04926,680.8578,313.2858,163.15326,115.86656,97.11415
2000,399.40405,949.73865,723.5277,671.7956,474.79834,194.72815,125.901985,88.0655,76.40895
2001,143.38348,213.30005,397.92642,357.33545,301.09476,123.80369,85.888916,67.8281,65.52043
2002,492.1004,299.64822,440.3578,502.08505,343.0739,158.9956,92.59744,71.057915,62.28362
2003,695.84906,360.42557,549.5609,627.48425,785.06116,330.87744,131.54443,106.0845,79.00389
2004,325.20102,723.20575,715.79694,514.31116,407.66934,189.71902,106.849205,91.56825,75.29297
2005,284.85776,326.52344,656.54987,602.429,1073.782,393.10822,157.50504,105.790215,95.12054
2006,1016.45135,731.113,1099.6398,1628.8544,1180.6686,433.43832,197.22745,137.27885,92.66036
2007,179.28091,420.98514,401.93912,316.10275,231.00629,113.229675,99.424675,82.0907,77.77253
2008,235.21222,235.14099,358.84302,374.80997,396.47955,147.97728,85.58886,64.91715,55.232124
2009,166.93045,428.9915,713.6696,411.0413,574.111,178.449,87.66452,71.91533,58.834106
2010,337.14938,325.85822,491.90152,637.96014,689.6494,524.08203,171.53732,92.14414,86.499725
2011,350.29117,368.47372,1058.5886,1121.4348,952.328,872.72076,341.5439,139.91666,103.5845
2012,160.88214,147.66806,645.492,684.0952,391.9519,145.51617,108.10535,85.013016,64.47144
2013,288.28442,235.2041,406.53455,349.38058,161.64601,134.11621,87.829575,73.02016,64.67557
2014,82.27334,255.2579,428.42197,303.87292,132.89769,79.60548,72.165016,62.43577,54.987907
2015,185.84457,405.00916,180.55817,159.66255,128.82176,87.72873,74.19005,63.32853,58.575863
2016,627.7191,433.38293,1404.6085,537.1094,356.80045,152.78825,82.764885,70.17751,66.58752
2017,1457.5859,2831.8425,1201.2572,1470.8708,905.70764,366.9137,202.94989,135.94293,92.74844
2018,321.5597,214.13428,824.4199,734.2064,287.9519,148.15767,103.368225,92.62335,73.958466
2019,551.4183,930.20483,1131.2394,1278.2045,860.0303,455.18054,184.33932,115.68038,109.89908
2020,224.52591,163.97769,228.26031,370.39572,283.523,145.51837,91.01674,69.49402,64.339325
2021,142.74294,212.77316,213.52676,214.54504,126.995224,91.31081,68.22195,53.089306,52.129734
